Train Epoch: 6 | Batch: 90/98 | Loss: 1.492 | Train Acc: 45.454%


Test Epoch: 6 | Loss: 1.397 | Test Acc: 50.010%


Train Epoch: 7 | Batch: 0/98 | Loss: 1.479 | Train Acc: 44.727%
Train Epoch: 7 | Batch: 10/98 | Loss: 1.477 | Train Acc: 46.538%
Train Epoch: 7 | Batch: 20/98 | Loss: 1.478 | Train Acc: 45.880%
Train Epoch: 7 | Batch: 30/98 | Loss: 1.470 | Train Acc: 46.591%
Train Epoch: 7 | Batch: 40/98 | Loss: 1.474 | Train Acc: 46.489%
Train Epoch: 7 | Batch: 50/98 | Loss: 1.471 | Train Acc: 46.618%
Train Epoch: 7 | Batch: 60/98 | Loss: 1.467 | Train Acc: 46.670%
Train Epoch: 7 | Batch: 70/98 | Loss: 1.467 | Train Acc: 46.619%
Train Epoch: 7 | Batch: 80/98 | Loss: 1.468 | Train Acc: 46.525%
Train Epoch: 7 | Batch: 90/98 | Loss: 1.467 | Train Acc: 46.534%


Test Epoch: 7 | Loss: 1.373 | Test Acc: 51.020%


Train Epoch: 8 | Batch: 0/98 | Loss: 1.472 | Train Acc: 48.438%
Train Epoch: 8 | Batch: 10/98 | Loss: 1.454 | Train Acc: 47.638%
Train Epoch: 8 | Batch: 20/98 | Loss: 1.448 | Train Acc: 48.168%
Train Epoch: 8 | Batch: 30/98 | Loss: 1.456 | Train Acc: 47.505%
Train Epoch: 8 | Batch: 40/98 | Loss: 1.456 | Train Acc: 47.456%
Train Epoch: 8 | Batch: 50/98 | Loss: 1.456 | Train Acc: 47.476%
Train Epoch: 8 | Batch: 60/98 | Loss: 1.451 | Train Acc: 47.682%
Train Epoch: 8 | Batch: 70/98 | Loss: 1.452 | Train Acc: 47.607%
Train Epoch: 8 | Batch: 80/98 | Loss: 1.453 | Train Acc: 47.490%
Train Epoch: 8 | Batch: 90/98 | Loss: 1.452 | Train Acc: 47.532%


Test Epoch: 8 | Loss: 1.366 | Test Acc: 51.180%


Train Epoch: 9 | Batch: 0/98 | Loss: 1.520 | Train Acc: 43.164%
Train Epoch: 9 | Batch: 10/98 | Loss: 1.442 | Train Acc: 47.656%
Train Epoch: 9 | Batch: 20/98 | Loss: 1.438 | Train Acc: 47.619%
Train Epoch: 9 | Batch: 30/98 | Loss: 1.444 | Train Acc: 47.644%
Train Epoch: 9 | Batch: 40/98 | Loss: 1.444 | Train Acc: 47.451%
Train Epoch: 9 | Batch: 50/98 | Loss: 1.443 | Train Acc: 47.361%
Train Epoch: 9 | Batch: 60/98 | Loss: 1.444 | Train Acc: 47.349%
Train Epoch: 9 | Batch: 70/98 | Loss: 1.446 | Train Acc: 47.318%
Train Epoch: 9 | Batch: 80/98 | Loss: 1.445 | Train Acc: 47.437%
Train Epoch: 9 | Batch: 90/98 | Loss: 1.446 | Train Acc: 47.409%


Test Epoch: 9 | Loss: 1.361 | Test Acc: 51.430%


Final testing result: 51.430%
