Train Epoch: 6 | Batch: 90/98 | Loss: 1.231 | Train Acc: 56.147%


Test Epoch: 6 | Loss: 1.148 | Test Acc: 59.660%


Train Epoch: 7 | Batch: 0/98 | Loss: 1.330 | Train Acc: 52.148%
Train Epoch: 7 | Batch: 10/98 | Loss: 1.215 | Train Acc: 57.031%
Train Epoch: 7 | Batch: 20/98 | Loss: 1.205 | Train Acc: 57.320%
Train Epoch: 7 | Batch: 30/98 | Loss: 1.199 | Train Acc: 57.592%
Train Epoch: 7 | Batch: 40/98 | Loss: 1.195 | Train Acc: 57.722%
Train Epoch: 7 | Batch: 50/98 | Loss: 1.192 | Train Acc: 57.755%
Train Epoch: 7 | Batch: 60/98 | Loss: 1.193 | Train Acc: 57.835%
Train Epoch: 7 | Batch: 70/98 | Loss: 1.193 | Train Acc: 57.810%
Train Epoch: 7 | Batch: 80/98 | Loss: 1.191 | Train Acc: 57.829%
Train Epoch: 7 | Batch: 90/98 | Loss: 1.188 | Train Acc: 57.836%


Test Epoch: 7 | Loss: 1.086 | Test Acc: 62.230%


Train Epoch: 8 | Batch: 0/98 | Loss: 1.169 | Train Acc: 59.570%
Train Epoch: 8 | Batch: 10/98 | Loss: 1.162 | Train Acc: 59.268%
Train Epoch: 8 | Batch: 20/98 | Loss: 1.152 | Train Acc: 59.301%
Train Epoch: 8 | Batch: 30/98 | Loss: 1.156 | Train Acc: 59.129%
Train Epoch: 8 | Batch: 40/98 | Loss: 1.158 | Train Acc: 58.927%
Train Epoch: 8 | Batch: 50/98 | Loss: 1.161 | Train Acc: 58.758%
Train Epoch: 8 | Batch: 60/98 | Loss: 1.157 | Train Acc: 58.840%
Train Epoch: 8 | Batch: 70/98 | Loss: 1.157 | Train Acc: 58.800%
Train Epoch: 8 | Batch: 80/98 | Loss: 1.156 | Train Acc: 58.869%
Train Epoch: 8 | Batch: 90/98 | Loss: 1.154 | Train Acc: 58.916%


Test Epoch: 8 | Loss: 1.073 | Test Acc: 62.280%


Train Epoch: 9 | Batch: 0/98 | Loss: 1.103 | Train Acc: 62.109%
Train Epoch: 9 | Batch: 10/98 | Loss: 1.150 | Train Acc: 58.771%
Train Epoch: 9 | Batch: 20/98 | Loss: 1.141 | Train Acc: 59.105%
Train Epoch: 9 | Batch: 30/98 | Loss: 1.139 | Train Acc: 59.312%
Train Epoch: 9 | Batch: 40/98 | Loss: 1.138 | Train Acc: 59.294%
Train Epoch: 9 | Batch: 50/98 | Loss: 1.135 | Train Acc: 59.421%
Train Epoch: 9 | Batch: 60/98 | Loss: 1.135 | Train Acc: 59.420%
Train Epoch: 9 | Batch: 70/98 | Loss: 1.137 | Train Acc: 59.367%
Train Epoch: 9 | Batch: 80/98 | Loss: 1.136 | Train Acc: 59.455%
Train Epoch: 9 | Batch: 90/98 | Loss: 1.135 | Train Acc: 59.469%


Test Epoch: 9 | Loss: 1.064 | Test Acc: 62.650%


Final testing result: 62.650%
